iter	Passed	Remaining
898	1652	185
899	1654	183
900	1656	181
901	1657	180
902	1659	178
903	1661	176
904	1662	174
905	1663	172
906	1665	170
907	1667	168
908	1668	167
909	1670	165
910	1671	163
911	1673	161
912	1674	159
913	1676	157
914	1678	155
915	1679	154
916	1681	152
917	1682	150
918	1684	148
919	1685	146
920	1687	144
921	1688	142
922	1690	141
923	1692	139
924	1693	137
925	1694	135
926	1696	133
927	1697	131
928	1698	129
929	1700	127
930	1702	126
931	1704	124
932	1705	122
933	1706	120
934	1708	118
935	1709	116
936	1711	115
937	1712	113
938	1713	111
939	1715	109
940	1716	107
941	1718	105
942	1719	103
943	1721	102
944	1722	100
945	1723	98
946	1725	96
947	1727	94
948	1728	92
949	1729	91
950	1731	89
951	1733	87
952	1735	85
953	1737	83
954	1738	81
955	1740	80
956	1742	78
957	1743	76
958	1745	74
959	1747	72
960	1749	70
961	1750	69
962	1752	67
963	1753	65
964	1754	63
965	1756	61
966	1757	59
967	1758	58
968	1760	56
969	1761	54
970	1763	52
971	1764	50
972	1765	49
973	1767	47
974	1768	45
975	1770	43
976	1771	41
977	1772	39
978	1774	38
979	1775	36
980	1777	34
981	1778	32
982	1780	30
983	1781	28
984	1782	27
985	1784	25
986	1785	23
987	1786	21
988	1788	19
989	1789	18
990	1791	16
991	1793	14
992	1794	12
993	1796	10
994	1797	9
995	1799	7
996	1800	5
997	1802	3
998	1804	1
999	1805	0
